NAME,CITY,STATE,ZIP
SELAH INTERMEDIATE SCHOOL,SELAH,WA,98942
FUTURES PROGRAM,STEILACOOM,WA,98388
PACIFIC CASCADE MIDDLE SCHOOL,ISSAQUAH,WA,98029
TWIN HARBORS A BRANCH OF NEW MARKET SKILLS CENTER,ABERDEEN,WA,98520
LOCHBURN MIDDLE SCHOOL,LAKEWOOD,WA,98499
FIRGROVE ELEMENTARY,PUYALLUP,WA,98373
MOUNTLAKE TERRACE HIGH SCHOOL,MTLK TERRACE,WA,98043
TERRACE HEIGHTS ELEMENTARY,YAKIMA,WA,98901
BYRON KIBLER ELEMENTARY SCHOOL,ENUMCLAW,WA,98022
PRESTON HALL MIDDLE SCHOOL,WAITSBURG,WA,99361
MANITOU PARK,TACOMA,WA,98409
EXPLORER MIDDLE SCHOOL,EVERETT,WA,98204
FERNDALE PARENT PARTNERSHIP,FERNDALE,WA,98248
SEQUIM SENIOR HIGH,SEQUIM,WA,98382
BEMISS ELEMENTARY,SPOKANE,WA,99207
REMANN HALL JUVENILE DETENTION CENTER,TACOMA,WA,98406
LAKE ROOSEVELT ELEMENTARY,COULEE DAM,WA,99116
ALTERNATIVE SPCL NEEDS DIV OCC,TACOMA,WA,98405
GENERAL WILLIAM H. HARRISON PREPARATORY SCHOOL,LAKEWOOD,WA,98499
INDEPENDENT SCHOLAR,CHATTAROY,WA,99003
FIR GROVE CHILDRENS CENTER,VANCOUVER,WA,98661
LAKEVIEW HOPE ACADEMY,LAKEWOOD,WA,98499
CAREER ACADEMY AT TRUMAN HIGH SCHOOL,FEDERAL WAY,WA,98003
HOOD CANAL ELEMENTARY SCHOOL,SHELTON,WA,98584
NORTH KITSAP HIGH SCHOOL,POULSBO,WA,98370
CENTRAL VALLEY HIGH SCHOOL,SPOKANE VALLEY,WA,99037
MABTON JR. SR. HIGH,MABTON,WA,98935
RENTON ACADEMY,RENTON,WA,98055
ECEAP,MUKILTEO,WA,98275
HEAD START,SEATTLE,WA,98106
OCOSTA ELEMENTARY SCHOOL,WESTPORT,WA,98595
SOUTH WHIDBEY ACADEMY,LANGLEY,WA,98260
ROOSEVELT HIGH SCHOOL,SEATTLE,WA,98115
TYEE MIDDLE SCHOOL,BELLEVUE,WA,98006
MOSSYROCK ACADEMY,MOSSYROCK,WA,98564
INTERAGENCY OPEN DOORS,SEATTLE,WA,98118
WILLIAM WILEY ELEMENTARY SCHOOL,WEST RICHLAND,WA,99353
PHOENIX HIGH SCHOOL,KENNEWICK,WA,99338
MARCUS WHITMAN MIDDLE SCHOOL,PORT ORCHARD,WA,98366
WHITE SWAN HIGH SCHOOL,WHITE SWAN,WA,98952
KENNYDALE ELEMENTARY SCHOOL,RENTON,WA,98056
RAINIER ELEMENTARY SCHOOL,JBLM LEWIS MAIN,WA,98433
FRANKLIN,TACOMA,WA,98405
HIGHLINE HOME SCHOOL CENTER,BURIEN,WA,98148
COLLEGE PLACE MIDDLE SCHOOL,LYNNWOOD,WA,98036
CENTERVILLE ELEMENTARY,CENTERVILLE,WA,98613
HILLCREST ELEMENTARY,OAK HARBOR,WA,98277
DEER PARK EARLY LEARNING CENTER,DEER PARK,WA,99006
FOOTHILLS MIDDLE SCHOOL,WENATCHEE,WA,98801
SUMMIT VIEW HIGH SCHOOL,BRUSH PRAIRIE,WA,98606
BURLEY GLENWOOD ELEMENTARY,PORT ORCHARD,WA,98367
REPUBLIC ELEMENTARY SCHOOL,REPUBLIC,WA,99166
LELAND P BROWN ELEMENTARY,OLYMPIA,WA,98502
J M WEATHERWAX HIGH SCHOOL,ABERDEEN,WA,98520
MAPLEWOOD ELEMENTARY,PUYALLUP,WA,98371
INDIVIDUALIZED GRADUATION & DEGREE PROGRAM,KENT,WA,98030
ROSE HILL MIDDLE SCHOOL,REDMOND,WA,98052
NORMAN ROCKWELL ELEMENTARY,REDMOND,WA,98052
INTERAGENCY OPEN DOORS,SEATTLE,WA,98118
JEFFERSON ELEMENTARY,RICHLAND,WA,99352
ILLAHEE ELEMENTARY SCHOOL,CAMAS,WA,98607
SAMMAMISH SENIOR HIGH,BELLEVUE,WA,98005
WASHINGTON ELEMENTARY SCHOOL,KENNEWICK,WA,99337
JOHN SEDGWICK MIDDLE SCHOOL,PORT ORCHARD,WA,98366
LIDGERWOOD ELEMENTARY,SPOKANE,WA,99208
SUQUAMISH ELEMENTARY SCHOOL,SUQUAMISH,WA,98392
DISCOVERY ELEMENTARY SCHOOL,GIG HARBOR,WA,98335
HORIZON MIDDLE SCHOOL,SPOKANE VALLEY,WA,99206
SKILL SOURCE REINGAGEMENT PROGRAM,MOSES LAKE,WA,98837
BENTON COUNTY JAIL,KENNEWICK,WA,99337
DEER PARK HIGH SCHOOL,DEER PARK,WA,99006
JUVENILE DETENTION CENTER,YAKIMA,WA,98902
CLOVIS POINT INTERMEDIATE SCHOOL,EAST WENATCHEE,WA,98802
SHOREWOOD ELEMENTARY,BURIEN,WA,98146
ICCF ED PROGRAM,COUPEVILLE,WA,98239
COLLINS ELEMENTARY,TACOMA,WA,98444
SPINNING ELEMENTARY,PUYALLUP,WA,98372
OPEN DOORS,SPOKANE,WA,99201
RIVERSIDE HIGH SCHOOL,CHATTAROY,WA,99003
NORTHPORT ELEMENTARY SCHOOL,NORTHPORT,WA,99157
WINDWARD HIGH SCHOOL,FERNDALE,WA,98248
ORTING HIGH SCHOOL,ORTING,WA,98360
PETER KIRK ELEMENTARY,KIRKLAND,WA,98033
CASCADE ELEMENTARY,MARYSVILLE,WA,98270
DRUM INTERMEDIATE,UNIVERSITY PLA,WA,98467
BEACON HILL ELEMENTARY,LONGVIEW,WA,98632
LIND-RITZVILLE HIGH SCHOOL,RITZVILLE,WA,99169
MAPLE LAWN ELEMENTARY,SUMNER,WA,98390
SACAJAWEA ELEMENTARY SCHOOL,VANCOUVER,WA,98685
MADRONA K-5 SCHOOL,SEATTLE,WA,98122
FRIDAY HARBOR ELEMENTARY SCHOOL,FRIDAY HARBOR,WA,98250
MERIDIAN MIDDLE SCHOOL,KENT,WA,98031
SELKIRK MIDDLE SCHOOL,IONE,WA,99139
ROYAL INTERMEDIATE SCHOOL,ROYAL CITY,WA,99357
NACHES VALLEY ELEMENTARY SCHOOL,NACHES,WA,98937
ORTING SPECIAL EDUCATION,ORTING,WA,98360
BELLINGHAM FAMILY PARTNERSHIP PROGRAM,BELLINGHAM,WA,98225
PARK PLACE MIDDLE SCHOOL,MONROE,WA,98272
BAINBRIDGE HIGH SCHOOL,BAINBRIDGE ISLAND,WA,98110
CHIEF UMTUCH MIDDLE,BATTLE GROUND,WA,98604
WIND RIVER MIDDLE SCHOOL,STEVENSON,WA,98648
TENINO HIGH SCHOOL,TENINO,WA,98589
SHOREWOOD HIGH SCHOOL,SHORELINE,WA,98133
THURGOOD MARSHALL ELEMENTARY,SEATTLE,WA,98144
SOUTH WHIDBEY ELEMENTARY,LANGLEY,WA,98260
UNIVERSITY HIGH SCHOOL,SPOKANE VALLEY,WA,99216
BERNEY ELEMENTARY SCHOOL,WALLA WALLA,WA,99362
LOYAL HEIGHTS ELEMENTARY SCHOOL,SEATTLE,WA,98115
COUGAR VALLEY ELEMENTARY,SILVERDALE,WA,98383
EAST OLYMPIA ELEMENTARY,OLYMPIA,WA,98501
MERIDIAN MIDDLE SCHOOL,LYNDEN,WA,98264
KENT PHOENIX ACADEMY,KENT,WA,98030
SOOS CREEK ELEMENTARY SCHOOL,KENT,WA,98031
KELLER ELEMENTARY SCHOOL,KELLER,WA,99140
ROBERT L OLDS JUNIOR HIGH SCHOOL,CONNELL,WA,99326
HELEN B. STAFFORD ELEMENTARY,TACOMA,WA,98444
PRESIDENTS ELEMENTARY,ARLINGTON,WA,98223
HIGHLANDS ELEMENTARY SCHOOL,RENTON,WA,98056
GOLDENDALE MIDDLE SCHOOL,GOLDENDALE,WA,98620
CURTIS JUNIOR HIGH,UNIVERSITY PLACE,WA,98466
COLBERT ELEMENTARY SCHOOL,COLBERT,WA,99005
CARSON ELEMENTARY,CARSON,WA,98610
MARYSVILLE COOP PROGRAM,MARYSVILLE,WA,98271
GATE PROGRAM,VANCOUVER,WA,98661
HAZELWOOD ELEMENTARY SCHOOL,AUBURN,WA,98092
JAMES SALES ELEMENTARY,TACOMA,WA,98444
MANN MIDDLE SCHOOL,LAKEWOOD,WA,98498
KALLES JUNIOR HIGH,PUYALLUP,WA,98372
WILSON CREEK HIGH,WILSON CREEK,WA,98860
LEONA LIBBY MIDDLE SCHOOL,WEST RICHLAND,WA,99353
PARTNERSHIP FOR EXCELLENCE IN ALTERNATIVE REMOTE LEARNING,QUILCENE,WA,98376
CASTLE ROCK MIDDLE SCHOOL,CASTLE ROCK,WA,98611
WINLOCK MILLER ELEMENTARY,WINLOCK,WA,98596
HANFORD HIGH SCHOOL,RICHLAND,WA,99352
WESTSIDE HIGH SCHOOL,WENATCHEE,WA,98801
COLUMBIA VALLEY ELEMENTARY,VANCOUVER,WA,98683
YELM EXTENSION SCHOOL,YELM,WA,98597
GREGORY HEIGHTS ELEMENTARY,BURIEN,WA,98166
HOME EDUCATION EXCHANGE,SHORELINE,WA,98155
TUKES VALLEY MIDDLE SCHOOL,BATTLE GROUND,WA,98604
PTARMIGAN RIDGE ELEMENTARY SCHOOL,ORTING,WA,98360
PIERCE COUNTY SKILLS CENTER,PUYALLUP,WA,98375
SKY VALLEY EDUCATION CENTER,MONROE,WA,98272
CHINOOK MIDDLE SCHOOL,BELLEVUE,WA,98004
WASHINGTON VIRTUAL ACADEMY OMAK HIGH SCHOOL,OMAK,WA,98841
MOUNTAIN MEADOW ELEMENTARY,BUCKLEY,WA,98321
KENMORE MIDDLE SCHOOL,KENMORE,WA,98028
OAK HARBOR HIGH SCHOOL,OAK HARBOR,WA,98277
AUBURN SENIOR HIGH SCHOOL,AUBURN,WA,98002
PENINSULA ELEMENTARY,MOSES LAKE,WA,98837
WHITE RIVER SPECIAL ED SERVICES,BUCKLEY,WA,98321
BRIDGES TRANSITION,SEATTLE,WA,98108
LAKE QUINAULT SCHOOL,AMANDA PARK,WA,98526
WESTWOOD MIDDLE SCHOOL,SPOKANE,WA,99224
MORRIS SCHOTT ELEMENTARY,MATTAWA,WA,99349
CHAMBERS ELEMENTARY,UNIVERSITY PLA,WA,98467
MCKINLEY ELEMENTARY SCHOOL,YAKIMA,WA,98902
CENTRAL EDUCATIONAL SERVICES,BELLEVUE,WA,98005
WEST VALLEY VIRTUAL ACADEMY 9-12,YAKIMA,WA,98908
NORTHWOOD ELEMENTARY SCHOOL,MERCER ISLAND,WA,98040
CLEAR LAKE ELEMENTARY SCHOOL,CLEAR LAKE,WA,98235
SPRAGUE HIGH SCHOOL,SPRAGUE,WA,99032
ENTERPRISE ELEMENTARY SCHOOL,FEDERAL WAY,WA,98023
KELLOGG MIDDLE SCHOOL,SHORELINE,WA,98155
KENDALL ELEMENTARY,MAPLE FALLS,WA,98266
KINGSTON MIDDLE SCHOOL,KINGSTON,WA,98346
HOPKINS ELEMENTARY,ABERDEEN,WA,98520
ODYSSEY ELEMENTARY,EVERETT,WA,98204
DISCOVERY PRIMARY SCHOOL,MILTON,WA,98354
BATTLE GROUND HIGH SCHOOL,BATTLE GROUND,WA,98604
GATEWAY MIDDLE SCHOOL,EVERETT,WA,98208
WHITE SALMON ACADEMY,WHITE SALMON,WA,98672
FERNDALE RE-ENGAGEMENT,FERNDALE,WA,98248
DAYBREAK ALTERNATIVE SCHOOL,SPOKANE,WA,99202
SATSOP ELEMENTARY,SATSOP,WA,98583
FRUITLAND ELEMENTARY,PUYALLUP,WA,98371
SMITH ELEMENTARY SCHOOL,GRANDVIEW,WA,98930
LEWIS COUNTY ALTERNATIVE SCHOOL,CHEHALIS,WA,98532
CASCADIA ELEMENTARY,FERNDALE,WA,98248
RENTON TECHNICAL COLLEGE DFTC,RENTON,WA,98056
WEST VALLEY OPEN DOORS,YAKIMA,WA,98908
HIGHLAND ELEMENTARY,LAKE STEVENS,WA,98258
COLUMBIA HIGH SCHOOL,WHITE SALMON,WA,98672
CENTRAL AVENUE ELEMENTARY,TACOMA,WA,98446
PRAIRIE VIEW ELEMENTARY,SPOKANE,WA,99208
BENJAMIN FRANKLIN ELEMENTARY,KIRKLAND,WA,98033
SUNRISE ELEMENTARY,PUYALLUP,WA,98374
HIGH SCHOOL RE ENTRY,SNOHOMISH,WA,98290
ECHO GLEN SCHOOL,SNOQUALMIE,WA,98065
ELIZABETH BLACKWELL ELEMENTARY,SAMMAMISH,WA,98074
DISHMAN HILLS HIGH SCHOOL,SPOKANE,WA,99206
LOOWIT HIGH SCHOOL,KELSO,WA,98626
DAVIS HIGH SCHOOL,YAKIMA,WA,98902
CHRISTA MCAULIFFE ELEMENTARY,SAMMAMISH,WA,98074
INDIAN TRAIL ELEMENTARY,SPOKANE,WA,99208
VALLEY VIEW ELEMENTARY SCHOOL,ELLENSBURG,WA,98936
MCMICKEN HEIGHTS ELEMENTARY,SEATAC,WA,98188
SELAH ACADEMY REENGAGEMENT PROGRAM,SELAH,WA,98942
EXCELSIOR YOUTH CENTER SCHOOL,SPOKANE,WA,99208
OTHER SCHOOLS,EVERETT,WA,98201
CREEKSIDE ELEMENTARY,SAMMAMISH,WA,98075
SPOKANE VALLEY TECH SKILLS CENTER,SPOKANE VALLEY,WA,99206
EMERSON ELEMENTARY,SNOHOMISH,WA,98290
CHAUTAUQUA ELEMENTARY,VASHON,WA,98070
MCDONALD INTERNATIONAL SCHOOL,SEATTLE,WA,98105
EASTLAKE HIGH SCHOOL,SAMMAMISH,WA,98074
KIONA-BENTON CITY PRIMARY SCHOOL,BENTON CITY,WA,99320
KAPOWSIN ELEMENTARY,GRAHAM,WA,98338
PIONEER ELEMENTARY SCHOOL,OLYMPIA,WA,98501
SPRAGUE ELEMENTARY,SPRAGUE,WA,99032
EAST VALLEY CENTRAL MIDDLE SCHOOL,YAKIMA,WA,98901
SEATTLE SKILLS CENTER,SEATTLE,WA,98124
MERIDIAN IMPACT RE-ENGAGEMENT,BELLINGHAM,WA,98225
GATEWAY TO COLLEGE,BURIEN,WA,98146
LAKE GROVE ELEMENTARY SCHOOL,FEDERAL WAY,WA,98023
CARL COZIER ELEMENTARY SCHOOL,BELLINGHAM,WA,98229
TUKWILA ELEMENTARY,TUKWILA,WA,98168
SPRUCE ELEMENTARY,LYNNWOOD,WA,98037
FRONTIER MIDDLE SCHOOL,MOSES LAKE,WA,98837
RAINIER MIDDLE SCHOOL,AUBURN,WA,98092
FEDERAL WAY PUBLIC SCHOOL ECEAP,FEDERAL WAY,WA,98003
MCLOUGHLIN MIDDLE SCHOOL,VANCOUVER,WA,98661
MARTIN LUTHER KING ELEMENTARY,VANCOUVER,WA,98662
LIBBY CENTER,SPOKANE,WA,99202
MASON COUNTY DETENTION CENTER,SHELTON,WA,98584
CHASE MIDDLE SCHOOL,SPOKANE,WA,99223
CAREER LINK,SEATTLE,WA,98106
SHADOW LAKE ELEMENTARY,MAPLE VALLEY,WA,98038
ALAN T. SUGIYAMA HIGH SCHOOL,SEATTLE,WA,98118
MIDWAY ELEMENTARY,DES MOINES,WA,98198
ARLINGTON OPEN DOORS,ARLINGTON,WA,98223
WESTWOOD ELEMENTARY SCHOOL,ENUMCLAW,WA,98022
WARDEN ELEMENTARY,WARDEN,WA,98857
DEVELOPMENTAL PRESCHOOL,RAYMOND,WA,98577
AVANTI HIGH SCHOOL,OLYMPIA,WA,98501
FREEMAN HIGH SCHOOL,ROCKFORD,WA,99030
MOUNTAIN VIEW HIGH SCHOOL,VANCOUVER,WA,98683
SELAH ACADEMY REENGAGEMENT PROGRAM,SELAH,WA,98942
ADNA MIDDLE/HIGH SCHOOL,CHEHALIS,WA,98532
GRANT ELEMENTARY SCHOOL,EAST WENATCHEE,WA,98802
CHINOOK MIDDLE SCHOOL,KENNEWICK,WA,99338
PARK ORCHARD ELEMENTARY SCHOOL,MOSES LAKE,WA,98837
DEER PARK MIDDLE SCHOOL,DEER PARK,WA,99006
SUNNYCREST ELEMENTARY SCHOOL,KENT,WA,98032
HIDDEN RIVER MIDDLE SCHOOL,SNOHOMISH,WA,98296
TAHOLAH HIGH SCHOOL,TAHOLAH,WA,98587
MATTAWA ELEMENTARY,MATTAWA,WA,99349
PESHASTIN DRYDEN ELEMENTARY,PESHASTIN,WA,98847
SHARPSTEIN ELEMENTARY SCHOOL,WALLA WALLA,WA,99362
SPOKANE PUBLIC MONTESSORI,SPOKANE,WA,99205
RAINIER VIEW ELEMENTARY SCHOOL,FEDERAL WAY,WA,98003
JUVENILE DETENTION CENTER,YAKIMA,WA,98902
ROCK CREEK ELEMENTARY,MAPLE VALLEY,WA,98038
ENUMCLAW SR HIGH SCHOOL,ENUMCLAW,WA,98022
SCENIC HILL ELEMENTARY SCHOOL,KENT,WA,98030
OLYMPIC MIDDLE SCHOOL,SHELTON,WA,98584
HENRY DAVID THOREAU ELEMENTARY,KIRKLAND,WA,98034
EASTMONT SENIOR HIGH,EAST WENATCHEE,WA,98802
PIONEER VALLEY ELEMENTARY,SPANAWAY,WA,98387
SUPPORT SCHOOL,FEDERAL WAY,WA,98003
OAK HEIGHTS ELEMENTARY,LYNNWOOD,WA,98037
WEST VIEW ELEMENTARY,BURLINGTON,WA,98233
WALLER ROAD ELEMENTARY,TACOMA,WA,98443
ECEAP,MARYSVILLE,WA,98271
TIMBERCREST MIDDLE SCHOOL,WOODINVILLE,WA,98077
KELSO HIGH SCHOOL,KELSO,WA,98626
VOYAGER ELEMENTARY,GIG HARBOR,WA,98335
NASELLE YOUTH CAMP SCHOOL,NASELLE,WA,98638
HATHAWAY ELEMENTARY,WASHOUGAL,WA,98671
JENKINS JUNIOR/SENIOR HIGH,CHEWELAH,WA,99109
NEWPORT HEIGHTS ELEMENTARY,BELLEVUE,WA,98006
NASELLE-GRAYS RIVER VALLEY JR SR HIGH SCHOOLS,NASELLE,WA,98638
MAYWOOD MIDDLE SCHOOL,RENTON,WA,98059
ONION CREEK ELEMENTARY,COLVILLE,WA,99114
CONWAY SCHOOL DISTRICT 317,MOUNT VERNON,WA,98274
CURLEW ELEM & HIGH SCHOOL,CURLEW,WA,99118
YELM PRAIRIE ELEMENTARY,YELM,WA,98597
TAHOLAH HIGH SCHOOL,TAHOLAH,WA,98587
CANYON PARK MIDDLE SCHOOL,BOTHELL,WA,98021
PATERSON ELEMENTARY SCHOOL,PATERSON,WA,99345
HORIZON MIDDLE SCHOOL,FERNDALE,WA,98248
NORTH CENTRAL HIGH SCHOOL,SPOKANE,WA,99205
CARRIAGE CREST ELEMENTARY SCHOOL,RENTON,WA,98058
INTERAGENCY DETENTION SCHOOL,SEATTLE,WA,98122
EDISON,TACOMA,WA,98409
CENTRAL ELEMENTARY SCHOOL,SEDRO-WOOLLEY,WA,98284
DARRINGTON HIGH SCHOOL,DARRINGTON,WA,98241
CAREER EDUCATION OPTIONS REENGAGEMENT PROGRAM,BELLEVUE,WA,98005
FAIRHAVEN MIDDLE SCHOOL,BELLINGHAM,WA,98225
SOUTH WHIDBEY MIDDLE,LANGLEY,WA,98260
BEEZLEY SPRINGS ELEMENTARY,EPHRATA,WA,98823
BOWDISH MIDDLE SCHOOL,SPOKANE VALLEY,WA,99206
